Loading module for Anaconda
Anaconda 2019.10 is now loaded
SUN
Random Seed:  4115
# of training samples:  10320
Encoder(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=204)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=204, out_features=102)
  (linear_log_var): Linear(in_features=204, out_features=102)
)
Generator(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=4096)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=102)
  (lrelu): LeakyReLU(0.2, inplace)
)
[90/400]  Loss_D: -1.4521 Loss_G: -2.8697, Wasserstein_dist:2.0243, vae_loss_seen:363.2629 GZSL: seen=0.3547, unseen=0.5049, h=0.4166 ZSL: unseen accuracy=0.6458
[91/400]  Loss_D: -1.4934 Loss_G: -2.6015, Wasserstein_dist:2.0195, vae_loss_seen:357.5719 GZSL: seen=0.3822, unseen=0.4438, h=0.4107 ZSL: unseen accuracy=0.6556
[92/400]  Loss_D: -1.5289 Loss_G: -2.8584, Wasserstein_dist:2.0751, vae_loss_seen:348.1417 GZSL: seen=0.3934, unseen=0.4618, h=0.4249 ZSL: unseen accuracy=0.6465
[93/400]  Loss_D: -1.4209 Loss_G: -2.5471, Wasserstein_dist:1.9509, vae_loss_seen:346.4997 GZSL: seen=0.3915, unseen=0.4319, h=0.4107 ZSL: unseen accuracy=0.6361
[94/400]  Loss_D: -1.3662 Loss_G: -2.5935, Wasserstein_dist:1.9277, vae_loss_seen:339.2664 GZSL: seen=0.3674, unseen=0.4861, h=0.4185 ZSL: unseen accuracy=0.6465
[95/400]  Loss_D: -1.5239 Loss_G: -2.6760, Wasserstein_dist:2.0229, vae_loss_seen:335.8092 GZSL: seen=0.3616, unseen=0.4840, h=0.4140 ZSL: unseen accuracy=0.6451
[96/400]  Loss_D: -1.3465 Loss_G: -2.9626, Wasserstein_dist:1.8448, vae_loss_seen:346.4086 GZSL: seen=0.3965, unseen=0.4458, h=0.4197 ZSL: unseen accuracy=0.6486
[97/400]  Loss_D: -1.3255 Loss_G: -2.3412, Wasserstein_dist:1.8213, vae_loss_seen:337.2359 GZSL: seen=0.3907, unseen=0.4313, h=0.4100 ZSL: unseen accuracy=0.6451
[98/400]  Loss_D: -1.4008 Loss_G: -2.6995, Wasserstein_dist:1.9311, vae_loss_seen:347.1249 GZSL: seen=0.3899, unseen=0.4431, h=0.4148 ZSL: unseen accuracy=0.6396
[99/400]  Loss_D: -1.3474 Loss_G: -2.2631, Wasserstein_dist:1.8174, vae_loss_seen:334.5937 GZSL: seen=0.4008, unseen=0.4292, h=0.4145 ZSL: unseen accuracy=0.6410
